PERIODO;CODIBARRIO;NOMBARRIO;NOMDISTR;INDICE
0:00:05;56; Vallbona;Nou Barris;0.218
0:00:05;57; la Trinitat Vella;Sant Andreu;0.233
0:00:05;58; Baro de Viver;Sant Andreu;0.159
0:00:05;59; el Bon Pastor;Sant Andreu;0.274
0:00:05;60; Sant Andreu;Sant Andreu;0.448
0:00:05;61; la Sagrera;Sant Andreu;0.394
0:00:05;62; el Congros i els Indians;Sant Andreu;0.336
0:00:05;63; Navas;Sant Andreu;0.332
0:00:05;64; el Camp de l'Arpa del Clot;Sant Marti;0.458
0:00:05;65; el Clot;Sant Marti;0.408
0:00:05;66; el Parc i la Llacuna del Poblenou;Sant Marti;0.374
0:00:05;67; la Vila Olompica del Poblenou;Sant Marti;0.453
0:00:05;68; el Poblenou;Sant Marti;0.456
0:00:05;69; Diagonal Mar i el Front Marotim del Poblenou;Sant Marti;0.392
0:00:05;70; el Besos i el Maresme;Sant Marti;0.314
0:00:05;71; Proven̤als del Poblenou;Sant Marti;0.347
0:00:05;72; Sant Marto de Proven̤als;Sant Marti;0.362
0:00:05;73; la Verneda i la Pau;Sant Marti;0.327
