ID_BARRIO;NOM_BARRIO;ID_DISTRIT;NOM_DISTR;1_2014;2_2014;3_2014;4_2014;1_2015;2_2015;3_2015;4_2015;1_2016;2_2016;3_2016;4_2016;1_2017;2_2017;3_2017;4_2017;1_2018;2_2018;3_2018;4_2018;
60; Sant Andreu;9;Sant Andreu;2329,9;2212,5;2376,4;2094,4;1831,3;2156,0;2277,5;2512,3;2617,1;2269,7;2533,5;2589,8;2782,3;3119,9;2885,4;3382,7;3314,9;3865,0;3822,0;3917,1;
61; la Sagrera;9;Sant Andreu;1391,7;1265,7;1465,2;1296,5;1099,3;1530,8;1302,5;1468,7;1266,8;1217,9;1662,5;1409,6;1391,4;1722,5;1803,0;2057,1;1639,2;2182,6;2188,3;2310,5;
62; el Congros i els Indians;9;Sant Andreu;631,0;485,3;735,7;661,0;490,4;538,6;506,9;625,1;597,3;633,8;599,4;540,5;936,7;851,1;861,9;991,8;987,7;1047,1;1063,3;1106,2;
63; Navas;9;Sant Andreu;883,9;762,3;1094,1;1002,8;1083,2;1022,3;993,3;1068,9;971,9;801,9;1070,1;1190,6;1174,2;1489,8;1609,2;1798,0;1633,1;1661,8;1507,2;1918,6;
64; el Camp de l'Arpa del Clot;10;Sant Marti;2318,5;2368,7;2513,2;2532,7;2042,4;2514,8;2596,4;3197,3;2390,6;2309,2;2638,7;3088,9;2921,0;3492,5;3327,4;3762,0;3689,0;4296,6;4059,0;4321,5;
65; el Clot;10;Sant Marti;1266,0;1288,1;1280,6;1459,0;1053,3;1473,1;1261,3;1576,2;1206,3;1360,7;1471,1;1746,1;1722,7;1905,2;1987,3;2481,4;2347,5;2414,9;2004,2;2208,7;
66; el Parc i la Llacuna del Poblenou;10;Sant Marti;759,5;780,3;866,0;574,8;530,3;915,3;746,6;770,7;658,4;953,1;1065,3;1147,5;1256,6;1182,7;1235,7;1268,9;1262,3;2012,5;1281,8;1246,4;
67; la Vila Olompica del Poblenou;10;Sant Marti;400,4;579,5;406,1;416,6;321,8;617,9;682,0;471,9;619,0;799,7;695,6;933,3;662,5;922,2;1039,7;1327,6;1033,5;1070,2;929,7;1048,1;
68; el Poblenou;10;Sant Marti;1892,4;1976,2;1881,1;1980,7;1587,9;2100,6;1961,6;2453,4;1719,0;2126,9;1954,7;2049,6;2362,2;2672,9;2490,7;3012,1;2959,8;3166,8;2801,3;3426,8;
69; Diagonal Mar i el Front Marotim del Poblenou;10;Sant Marti;777,5;505,2;451,6;128,1;421,7;409,4;396,5;1140,6;659,6;887,9;675,5;1064,4;1228,0;1284,2;1013,8;1250,5;1238,3;1187,4;2196,2;1467,5;
70; el Besos i el Maresme;10;Sant Marti;670,5;667,8;703,5;615,4;536,9;516,5;610,0;558,3;527,3;437,2;535,8;667,8;596,9;827,6;928,6;1128,6;1137,7;1030,8;1178,8;1097,7;
71; Proven̤als del Poblenou;10;Sant Marti;794,6;702,1;614,7;663,4;659,2;736,3;797,1;734,6;798,7;1054,9;982,2;1484,9;1483,8;1355,2;1288,1;1434,7;1736,7;1316,3;1604,7;1325,5;
72; Sant Marto de Proven̤als;10;Sant Marti;690,5;853,2;776,4;783,4;822,2;727,3;832,1;808,0;1000,6;837,1;880,6;943,7;1052,9;1320,6;1162,6;1254,6;1341,0;1455,2;1264,5;1270,6;
73; la Verneda i la Pau;10;Sant Marti;555,8;727,6;713,3;575,8;585,0;601,8;826,1;893,8;692,3;623,1;771,3;602,4;752,4;1028,5;969,5;928,8;845,4;1031,6;1101,3;1216,4;
;;;;;;;;;;;;;;;;;;;;;;;;
