PERIODO;CODIBARRIO;NOMBARRIO;NOMDISTR;INDICE
junio-14;50; les Roquetes;Nou Barris;0.304
junio-14;51; Verdun;Nou Barris;0.336
junio-14;52; la Prosperitat;Nou Barris;0.369
junio-14;53; la Trinitat Nova;Nou Barris;0.310
junio-14;54; Torre Baro;Nou Barris;0.202
junio-14;55; Ciutat Meridiana;Nou Barris;0.247
junio-14;56; Vallbona;Nou Barris;0.218
junio-14;57; la Trinitat Vella;Sant Andreu;0.233
junio-14;58; Baro de Viver;Sant Andreu;0.159
junio-14;59; el Bon Pastor;Sant Andreu;0.274
junio-14;60; Sant Andreu;Sant Andreu;0.448
junio-14;61; la Sagrera;Sant Andreu;0.394
junio-14;62; el Congros i els Indians;Sant Andreu;0.336
junio-14;63; Navas;Sant Andreu;0.332
junio-14;64; el Camp de l'Arpa del Clot;Sant Marti;0.458
junio-14;65; el Clot;Sant Marti;0.408
junio-14;66; el Parc i la Llacuna del Poblenou;Sant Marti;0.374
junio-14;67; la Vila Olompica del Poblenou;Sant Marti;0.453
junio-14;68; el Poblenou;Sant Marti;0.456
junio-14;69; Diagonal Mar i el Front Marotim del Poblenou;Sant Marti;0.392
junio-14;70; el Besos i el Maresme;Sant Marti;0.314
junio-14;71; Proven̤als del Poblenou;Sant Marti;0.347
junio-14;72; Sant Marto de Proven̤als;Sant Marti;0.362
junio-14;73; la Verneda i la Pau;Sant Marti;0.327
